"","sensor_id","poll_measure","date","time","sensor_streetname","sensor_lat","sensor_long","sensor_type"
"59",5504,66,"2013/11/02","20:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"60",5504,52,"2013/11/02","21:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"61",5504,56,"2013/11/02","22:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"62",5504,58,"2013/11/02","23:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"63",5504,56,"2013/11/03","00:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"64",5504,57,"2013/11/03","01:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"65",5504,42,"2013/11/03","02:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"66",5504,45,"2013/11/03","03:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"67",5504,46,"2013/11/03","04:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"68",5504,45,"2013/11/03","05:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"69",5504,41,"2013/11/03","06:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"70",5504,39,"2013/11/03","07:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"71",5504,39,"2013/11/03","08:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"72",5504,44,"2013/11/03","09:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"73",5504,47,"2013/11/03","10:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"74",5504,36,"2013/11/03","11:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"75",5504,37,"2013/11/03","12:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"76",5504,34,"2013/11/03","13:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"77",5504,31,"2013/11/03","14:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"78",5504,32,"2013/11/03","15:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"79",5504,35,"2013/11/03","16:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"80",5504,50,"2013/11/03","17:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"81",5504,56,"2013/11/03","18:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"82",5504,70,"2013/11/03","19:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"83",5504,60,"2013/11/03","20:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"84",5504,67,"2013/11/03","21:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"85",5504,76,"2013/11/03","22:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"86",5504,105,"2013/11/03","23:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"87",5504,92,"2013/11/04","00:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"88",5504,59,"2013/11/04","01:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
