"","id","measure","date","street","lat","long","type","unit","format","id_char","type_and_unit","normal_measure"
"31",10320,53,"2013/12/01","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.313333333333333
"32",10320,60,"2013/12/02","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.36
"33",10320,72,"2013/12/03","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.44
"34",10320,72,"2013/12/04","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.44
"35",10320,107,"2013/12/05","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.673333333333333
"36",10320,78,"2013/12/07","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.48
"37",10320,82,"2013/12/09","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.506666666666667
"38",10320,122,"2013/12/10","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.773333333333333
"39",10320,108,"2013/12/11","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.68
"40",10320,104,"2013/12/12","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.653333333333333
"41",10320,94,"2013/12/13","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.586666666666667
"42",10320,75,"2013/12/14","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.46
"43",10320,102,"2013/12/15","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.64
"44",10320,105,"2013/12/16","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.66
"45",10320,97,"2013/12/17","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.606666666666667
"46",10320,156,"2013/12/18","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",1
"47",10320,66,"2013/12/19","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.4
"48",10320,36,"2013/12/20","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.2
"49",10320,58,"2013/12/21","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.346666666666667
"50",10320,61,"2013/12/22","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.366666666666667
"51",10320,68,"2013/12/23","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.413333333333333
"52",10320,39,"2013/12/24","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.22
"53",10320,28,"2013/12/25","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.146666666666667
"54",10320,9,"2013/12/26","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.02
"55",10320,40,"2013/12/27","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.226666666666667
"56",10320,42,"2013/12/28","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.24
"57",10320,24,"2013/12/29","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.12
"58",10320,34,"2013/12/30","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.186666666666667
"59",10320,41,"2013/12/31","Milano - via Senato",45.47078,9.19718,"PM10 (SM2005)","µg/m","YYYY/MM/DD","10320","PM10 (SM2005)-µg/m",0.233333333333333
"60",6956,41,"2013/11/01","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.233333333333333
"61",6956,55,"2013/11/02","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.326666666666667
"62",6956,42,"2013/11/03","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.24
"63",6956,32,"2013/11/04","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.173333333333333
"64",6956,35,"2013/11/05","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.193333333333333
"65",6956,35,"2013/11/06","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.193333333333333
"66",6956,67,"2013/11/07","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.406666666666667
"67",6956,76,"2013/11/08","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.466666666666667
